trade_date,601229.SH,601006.SH,601009.SH,600886.SH,600926.SH,600674.SH,600015.SH,601058.SH,600256.SH,601168.SH,601901.SH,600066.SH,600845.SH,600157.SH,600233.SH,601021.SH,601699.SH,600219.SH,600023.SH,600362.SH,601233.SH,600741.SH,601898.SH,600885.SH,601128.SH,600372.SH,600515.SH,600161.SH,600183.SH,600352.SH,601099.SH,600482.SH,600079.SH,600060.SH,600642.SH,600109.SH,601727.SH,600985.SH,600497.SH,600348.SH,601666.SH,600536.SH,600839.SH,603816.SH,601799.SH,601717.SH,600529.SH,601997.SH,603160.SH,600236.SH,600803.SH,600141.SH,600702.SH,600862.SH,603198.SH,600559.SH,600549.SH,603338.SH,600018.SH,600282.SH,600061.SH,600546.SH,600699.SH,601001.SH,600879.SH,600369.SH,600155.SH,601966.SH,600705.SH,600038.SH,600673.SH,600499.SH,600704.SH,600820.SH,600863.SH,601216.SH,600486.SH,600170.SH,600153.SH,600998.SH,600566.SH,601179.SH,600129.SH,601018.SH,600143.SH,600039.SH,600516.SH,600583.SH,600970.SH,600392.SH,600100.SH,603899.SH,600909.SH,600008.SH,600511.SH,600711.SH,600535.SH,601016.SH,600580.SH,601000.SH,601636.SH,603005.SH,603000.SH,603658.SH,600004.SH,600884.SH,601677.SH,600325.SH,600166.SH,600582.SH,600380.SH,600312.SH,600498.SH,600563.SH,600655.SH,601991.SH,600771.SH,603568.SH,600685.SH,603885.SH,600737.SH,600483.SH,601808.SH,600755.SH,600416.SH,600131.SH,600739.SH,601866.SH,600373.SH,601880.SH,600707.SH,600435.SH,601231.SH,600329.SH,600201.SH,600390.SH,600399.SH,600801.SH,601375.SH,600750.SH,603883.SH,601222.SH,600258.SH,601611.SH,600171.SH,601098.SH,600598.SH,603737.SH,600330.SH,600572.SH,600271.SH,600123.SH,600062.SH,600667.SH,603858.SH,601118.SH,600728.SH,600977.SH,600116.SH,603228.SH,600057.SH,600993.SH,600596.SH,600641.SH,600517.SH,601928.SH,600316.SH,603456.SH,603444.SH,600606.SH,600456.SH,600718.SH,603027.SH,600273.SH,600338.SH,600782.SH,600446.SH,600633.SH,601992.SH,600500.SH,600562.SH,601106.SH,600072.SH,600409.SH,603678.SH,600827.SH,600481.SH,600967.SH,600216.SH,600328.SH,600267.SH,603026.SH,601519.SH,603218.SH,600138.SH,600597.SH,600185.SH,600773.SH,600211.SH,601718.SH,600478.SH,600740.SH,600110.SH,600095.SH,600206.SH,600259.SH,600006.SH,600339.SH,603919.SH,601890.SH,601858.SH,600776.SH,603866.SH,601908.SH,603888.SH,600787.SH,600556.SH,600195.SH,601969.SH,601139.SH,600335.SH,603025.SH
20170602,7.6422,5.4831,5.767,6.6641,9.4529,7.7198,6.8041,2.9347,3.0828,5.3368,8.9893,13.5642,5.2437,3.4905,17.7171,33.5029,4.9685,2.4948,4.5862,13.5677,7.7263,15.0496,4.5513,16.8949,8.4391,14.4825,6.5674,15.0452,6.1156,7.8019,3.9547,24.0564,18.173,12.3916,4.7115,11.0808,6.3284,9.9957,5.0343,3.1257,3.4658,10.6913,3.2297,24.7035,37.8195,,10.3387,8.7253,88.1278,3.2231,11.3107,8.7474,22.5392,8.9959,15.4484,,13.553,19.9262,5.0034,2.024,9.2959,3.1983,20.9865,4.6213,7.2946,4.9077,15.4626,17.3781,4.7755,38.1278,,6.8196,5.6781,7.5077,2.3792,3.5083,25.3764,2.8341,7.4546,8.4721,29.0859,4.9719,12.5688,4.8327,4.7879,2.3143,4.4894,5.7816,7.5169,8.615,,15.0509,7.8087,5.2358,30.8315,6.0325,24.0765,3.1642,6.284,2.7261,3.039,10.4499,12.3303,29.1848,10.9243,8.6397,8.053,6.1272,2.757,3.3822,6.9341,12.4282,20.1468,37.7101,,4.3416,26.6701,8.53,24.8246,14.8936,7.5303,6.659,10.6822,6.148,11.9983,6.8034,16.1408,2.9702,14.9004,2.6012,8.48,13.5967,12.2796,14.6135,16.769,8.0584,5.75,4.391,9.6378,12.8185,23.0383,6.3881,16.841,10.9745,9.1683,12.0273,8.596,12.8225,6.4839,5.8256,16.6056,3.9528,15.5108,6.5064,33.0569,5.1898,7.2293,17.4054,9.4675,20.6583,4.5995,18.1471,4.4071,7.9997,7.3822,7.1132,14.8666,7.7193,218.0717,5.622,17.0173,13.5201,5.4097,6.683,21.0959,2.4621,16.3575,16.6673,5.5722,6.1743,18.6173,3.03,15.4872,7.0373,24.237,13.8944,4.9104,11.2755,8.1337,6.7049,10.0912,22.9799,3.83,17.9673,18.7365,10.9145,5.8559,10.2986,21.9889,7.9386,9.09,3.0705,11.5949,6.9507,8.0205,35.63,5.1723,6.8664,12.9126,8.077,10.9893,6.5576,9.1905,4.3907,30.57,7.0161,,7.0656,10.044,5.445,9.544,8.7611
20170609,7.7472,5.4506,5.7775,6.7569,9.3216,7.7519,6.8733,2.9797,3.0754,5.6969,8.8415,14.3314,5.5759,3.5204,18.0234,32.1332,5.1113,2.5183,4.5226,14.0832,7.9179,17.0152,4.6959,18.0437,8.6776,14.7145,6.7705,16.1196,6.4629,7.9792,4.0145,25.9813,18.375,12.9504,4.8363,11.274,6.5002,10.1188,5.222,3.2259,3.5299,11.2088,3.3157,26.7148,40.4423,,10.8821,8.6703,91.8319,3.3516,12.0415,8.9696,23.7835,9.5865,15.9937,,13.8875,21.6149,4.9554,2.0624,9.1257,3.2134,21.5655,4.6486,7.6734,4.9798,16.3305,18.5649,4.8442,40.3275,,6.956,5.6382,7.662,2.4031,3.53,27.0993,2.8976,7.6642,8.5802,31.0507,5.1491,12.8793,4.8073,5.0264,2.3899,4.5612,5.918,7.7652,8.9693,,15.5795,8.0294,5.5293,31.4485,6.1105,24.3245,3.124,6.3117,2.9089,3.0748,10.5657,12.6643,28.5058,11.7687,9.1971,8.5716,6.2925,2.8062,3.4716,7.253,12.8847,21.9247,40.6714,,4.1662,27.6496,8.6456,25.6986,15.4043,7.8186,6.9746,10.748,6.3461,12.6831,6.9737,16.747,3.03,15.9419,2.7303,8.47,14.0513,12.8683,15.1162,17.394,8.4692,5.98,4.641,9.6568,13.0124,23.4802,6.6013,18.3951,11.2015,9.6766,12.3798,8.8248,12.6324,6.7013,5.8427,17.365,4.0307,16.2153,6.6704,33.6993,5.4782,7.2097,18.2733,9.6689,21.5555,4.7042,18.855,4.4541,8.4818,7.4007,7.1875,15.342,7.9872,229.7708,5.7696,17.1755,14.5895,5.9577,6.906,22.1301,2.5001,16.9459,16.6765,5.8355,6.6037,19.5289,3.1,15.9592,7.1783,24.9398,13.9862,4.7375,11.8952,8.3168,7.0281,10.6689,23.5661,4.14,18.0133,19.6463,11.5715,6.2859,10.5466,23.0649,7.948,9.52,3.2055,11.9357,8.09,8.5383,37.02,5.2655,6.6062,13.5323,8.3103,11.2834,6.5962,9.3249,4.5333,32.9726,7.2107,,7.089,10.2968,5.6549,10.5084,9.2823
20170616,7.4845,5.2747,5.6568,6.5713,8.9966,7.6394,6.7349,2.9978,3.068,6.229,9.4132,14.5527,5.9186,3.5104,18.3389,31.5716,5.3326,2.534,4.4869,14.1737,8.2348,16.7927,4.7385,19.5063,8.6776,14.8692,6.8315,16.1196,6.4108,7.962,4.0145,25.7664,18.5189,12.7286,4.8285,11.3802,6.6434,9.5683,5.3741,3.276,3.5868,11.2676,3.3826,26.5191,40.0012,,11.1824,8.4657,93.2453,3.2991,11.8505,9.0592,23.812,9.635,16.0023,,14.6563,21.5199,4.8993,2.1008,9.2291,3.4856,22.1014,4.7123,8.0472,5.0068,16.3605,18.5741,4.8271,41.9273,,6.9663,5.7263,7.5,2.3712,3.4434,27.3865,2.8976,7.8017,8.4418,30.0066,5.1077,12.9376,4.6985,5.0264,2.3899,4.7007,5.8348,7.7735,9.1652,,15.8392,8.0294,5.6324,30.8762,6.4321,24.2197,3.0919,6.3301,2.8723,3.1895,10.5983,12.7311,29.6137,11.5219,10.3637,8.7778,6.1455,2.8357,3.6505,7.204,12.704,22.954,44.9569,,4.0872,28.3503,8.8852,26.2092,15.1783,7.871,6.7556,10.7205,6.5295,13.0702,7.0683,16.747,3.047,16.6008,2.8133,7.97,14.1106,13.1255,15.5381,17.6875,8.5683,6.15,4.674,9.6569,12.7062,24.3022,6.6904,18.905,10.9555,9.6862,12.4144,8.8248,12.5074,6.7497,5.7984,17.3558,4.0753,16.1546,6.4699,33.6401,5.5577,7.1803,17.7101,9.9253,21.4613,4.7993,18.9837,4.548,8.7601,7.2344,7.2766,15.55,8.1742,242.1074,5.5236,17.9849,14.9231,5.9069,6.9134,22.4682,2.5001,17.3774,17.0447,5.7845,6.5969,20.0847,3.05,16.0477,7.6176,24.7119,13.7659,4.772,12.5148,8.3953,7.1231,10.64,26.0781,4.18,18.192,19.7914,11.3838,6.4506,11.003,22.9776,7.8825,9.27,3.3354,12.9774,8.0326,8.5187,38.44,5.5265,6.439,13.5606,8.5046,11.2923,6.6348,9.661,4.5428,33.0597,7.3037,,7.2292,10.3746,5.6805,10.4265,9.304
20170623,7.9048,5.3854,5.7302,6.7569,8.9966,7.8322,6.9299,2.8987,3.068,6.1635,9.6596,14.8154,5.7278,3.4905,18.2368,32.2613,5.4754,2.6125,4.5365,14.6079,8.8623,18.202,4.832,18.6809,8.4093,15.7973,6.8856,16.6919,6.4397,8.0826,4.0045,24.6916,18.4511,13.3318,4.8519,11.4286,7.2256,9.5393,5.3741,3.281,3.5441,10.9735,3.4113,27.1014,40.6022,,10.9346,8.8792,97.232,3.2991,11.1031,8.7306,25.0752,9.2767,16.0023,,14.9979,22.5613,5.0354,2.1969,9.3438,3.5083,22.6516,4.776,8.1306,5.0248,15.4726,20.4876,4.8528,41.9463,,6.9847,5.6943,7.6852,2.3632,3.5011,28.4058,3.0167,8.0245,8.6191,29.7518,5.1552,12.7629,4.7587,5.0529,2.3892,5.0305,5.6686,7.4175,9.527,,16.2009,8.4383,5.4579,32.1013,6.2664,25.3359,2.9474,6.3117,2.7313,3.1752,10.1602,12.5307,28.999,11.9895,10.4739,8.7645,6.1602,2.7963,3.5692,7.1794,12.7611,22.9072,44.1427,,4.1048,28.6721,8.9637,26.2583,14.8022,8.1942,6.6912,10.2766,6.4781,13.0503,7.4543,16.908,3.047,17.0519,2.7303,7.86,13.9624,13.7197,15.8433,17.7752,8.5187,6.16,4.5252,9.8016,12.8796,23.9562,6.4587,19.0283,11.334,9.9163,12.6175,8.8902,12.6441,7.3376,5.9115,18.0237,4.0808,16.1667,6.561,32.8929,5.4583,7.1999,17.8301,9.8246,21.678,4.7422,18.8274,4.4834,8.5054,7.0773,7.1949,15.7976,8.3663,231.8121,5.7671,18.9684,14.9623,6.0188,6.7945,23.9069,2.5836,16.691,17.7441,5.5552,6.3038,20.5813,3.02,16.2247,7.9657,26.8203,14.1146,4.6251,12.8452,8.5522,7.2182,11.1793,26.3013,4.11,17.6711,19.7914,11.5902,6.3316,10.9335,22.0907,7.7796,8.74,3.086,12.9287,8.2336,8.3722,39.31,5.396,6.1974,13.1222,8.3372,10.9398,6.4805,9.2525,4.4477,30.7106,7.1083,,7.1786,10.0343,5.634,11.1668,9.1194
20170630,7.8925,5.6334,5.8824,6.6641,8.9365,7.8885,7.0669,3.0788,3.098,6.2945,9.7877,15.1887,5.954,3.5603,18.3228,33.1383,5.6477,2.6595,4.52,15.2501,9.3622,17.9794,5.0022,19.2553,8.2974,16.7931,6.9534,16.9407,7.1142,8.2118,4.0045,24.7111,18.9833,13.456,4.9144,11.3223,7.2256,9.3655,5.8569,3.3962,3.7505,11.2676,3.459,28.7653,41.5224,,11.7115,8.8345,97.7682,3.3282,11.4103,9.2385,25.2747,9.3832,16.2153,,15.439,23.1945,5.0754,2.3762,9.4964,3.6217,22.9303,4.776,8.6418,5.0518,14.7444,20.7999,4.8528,43.8038,,7.2971,5.8384,7.7932,2.4031,3.53,30.301,3.0325,8.4699,9.3193,31.2644,5.2786,13.0734,4.8531,5.3268,2.448,6.0112,5.7609,7.194,9.9416,,16.1359,8.2502,5.2199,32.4053,6.4711,25.477,2.9554,6.3207,2.7261,3.3414,10.1348,12.5689,30.8074,11.9895,10.6748,9.0704,6.1381,2.7963,3.7318,7.4247,13.0654,23.7213,44.2054,,3.9644,28.5648,8.9306,26.8868,14.6382,8.3594,6.6784,10.4277,6.6909,13.648,7.6923,17.0785,3.0727,17.9772,2.7303,7.92,14.1603,13.9325,16.2562,18.3424,8.5754,6.24,5.2528,9.7052,13.102,25.1449,6.6191,19.2092,11.3245,9.7533,13.2426,9.0781,12.5289,7.0718,6.0247,18.8837,4.2423,16.6586,6.3873,32.6378,5.6472,7.5922,17.2853,10.3302,22.7284,4.8374,20.0225,4.9588,8.6134,7.1319,7.2469,15.9164,8.5533,228.6009,5.6728,19.1363,15.3566,6.2733,6.9729,25.1864,2.7888,17.2401,17.781,5.4957,6.5777,20.5134,3.03,16.5393,8.347,26.4309,14.9131,4.5905,12.8263,8.6394,7.3766,11.2467,26.8693,4.13,18.1001,20.3818,11.9656,6.2127,10.9832,21.4558,8.2191,8.61,3.6575,13.7172,8.224,8.4797,39.04,5.4519,6.0209,13.4899,8.4737,11.181,6.5384,9.1982,4.5618,30.6916,7.3595,,7.5525,10.2677,5.7402,11.0194,9.5537
20170707,7.7967,5.949,5.8404,6.8159,8.8703,8.0652,7.0822,3.2678,3.1653,6.9165,9.492,15.2509,5.8656,3.7199,18.2479,33.0694,5.9727,2.7545,4.5034,15.9103,10.0849,18.2168,5.1128,20.5055,8.3347,16.3827,6.9398,15.7839,7.3102,8.3497,3.9945,24.2421,18.4028,13.1278,4.9612,10.8972,7.4165,9.5031,6.4381,3.6317,3.9782,11.5734,3.5068,29.2644,40.8745,,11.4923,8.7395,103.3243,3.3224,11.2857,9.6791,25.4267,9.5962,16.0023,,18.363,22.5648,5.1235,2.5428,9.5148,4.0829,23.5091,4.776,8.4353,5.1256,14.5947,19.344,4.87,43.4784,,7.5637,5.7023,7.7083,2.459,3.6094,29.0142,3.0484,8.3913,9.0211,30.1135,5.2596,13.0929,4.8274,5.2826,2.4715,7.5415,5.7794,7.1443,11.9389,,16.4605,8.4464,5.093,31.4038,7.2702,24.1338,3.0437,6.4968,2.7418,3.6674,10.2217,12.8742,31.2863,12.9182,12.4484,9.2965,5.9837,2.8062,3.8537,7.4329,13.5028,23.1505,46.4241,,3.9557,27.5209,8.8191,28.1339,14.5322,8.262,6.6784,10.541,6.5521,13.8274,7.4067,17.268,3.1239,17.1819,2.7764,8.49,15.0805,12.9126,16.1664,18.3011,8.8869,7.21,5.6,9.7438,12.4309,24.2715,6.8685,19.6944,11.334,10.041,12.8732,9.2334,12.2397,7.5793,5.9638,17.9322,4.4705,15.6201,6.7538,33.4579,5.7764,8.014,17.4608,10.0814,22.5023,4.766,19.8387,5.1524,8.5285,7.2732,7.284,16.2829,8.9843,222.9611,5.593,20.4885,15.6232,6.2326,6.787,27.54,3.0333,17.4265,17.8638,5.4947,6.7841,20.3943,3.05,17.2473,8.6205,26.8488,14.4542,4.651,13.6356,8.6219,7.7886,11.4382,30.777,4.07,18.6772,20.8366,11.8342,6.0938,11.5983,20.7288,8.1443,8.47,3.8913,15.1678,8.4538,9.1733,48.66,5.629,6.0673,13.5464,8.7273,11.565,6.7312,9.2603,4.6093,30.6821,7.3502,,7.4452,10.8122,5.7402,10.6509,9.4089
20170714,8.0562,6.0699,6.2497,6.8244,9.0327,8.0352,7.8103,3.2588,3.1803,6.9002,9.1273,14.9882,5.6572,3.66,18.0889,32.4781,6.016,2.7147,4.52,15.6165,9.862,17.0802,5.1043,19.6029,8.0514,15.8883,6.8518,14.8411,7.5754,8.3583,4.0045,24.9358,18.2673,12.7198,4.9222,10.9069,7.5215,9.4886,6.3398,3.837,4.0565,10.9206,3.4399,28.6429,40.2454,,11.1832,8.9518,94.3468,3.2925,11.3605,9.5895,26.8419,9.6156,16.6584,,18.9952,21.8471,5.3316,2.5748,9.6186,3.9468,22.1086,4.776,8.337,5.2814,13.9263,18.6485,4.9988,42.0141,,7.4901,5.6542,7.8241,2.4909,3.5733,28.9707,3.0325,8.3651,8.6364,29.5956,5.2596,14.0088,4.8531,5.0794,2.7599,8.1206,5.7055,7.2105,12.052,,16.2287,8.2747,4.7598,28.6676,7.163,23.821,2.9393,6.7007,2.6843,3.7489,9.8922,12.922,30.2999,13.1603,12.6697,9.5758,6.0131,2.8062,3.8781,7.3103,13.2651,22.9821,45.6547,,3.8767,26.7559,8.72,27.8099,14.2718,8.3594,6.4896,10.3899,6.1505,13.3293,7.7494,17.4669,3.1324,16.4861,2.758,7.99,15.0212,12.7264,15.8448,17.9917,9.5455,7.21,5.9803,9.3096,12.1406,23.6564,6.6191,19.645,10.9546,11.2302,12.6814,9.4131,11.2531,7.3215,5.9028,17.4748,4.5318,15.4076,6.4148,32.9613,5.7366,8.0631,16.759,9.6943,21.0138,4.7948,20.3351,4.947,8.3742,7.0377,7.125,16.0056,8.7922,212.093,5.6075,19.3321,15.2479,6.0561,6.683,26.3532,3.1861,16.4066,17.4772,5.2379,6.8804,21.0051,3.43,17.5227,8.7697,25.6331,14.5093,4.3614,14.4073,8.7004,8.4123,11.6509,30.9197,4.04,17.4617,20.3818,11.5339,6.0487,12.6599,21.0099,8.322,8.62,3.9121,14.9439,9.0761,9.0267,47.85,5.6673,6.2903,13.7232,8.503,10.8773,6.5949,9.0431,4.6093,28.3416,7.9178,,7.5004,10.7538,5.7336,10.3192,9.4704
20170721,8.1625,6.0833,6.1063,6.9509,9.1832,8.292,7.7644,3.2318,3.2027,7.4568,9.0485,15.9561,5.5052,3.81,17.032,30.9114,7.121,2.8262,4.5945,16.9673,9.889,17.2039,5.5126,20.2835,7.7905,15.2776,6.8247,13.178,8.6131,8.8926,3.9945,24.33,17.6481,13.0306,5.0307,10.7233,7.6742,9.0099,6.7064,4.1977,4.9532,10.0738,3.4114,27.6789,42.6116,,10.7121,8.9798,89.7264,3.2805,11.3605,10.3289,26.7374,9.48,16.7606,,19.4478,20.7776,5.4671,2.8822,9.8934,4.4383,22.0157,5.2581,8.3862,5.2906,13.1782,17.7861,5.1272,40.0235,,8.1243,5.6302,7.5842,2.6107,3.7538,29.0432,3.1119,8.745,8.6709,29.4311,5.364,13.7413,4.9219,5.0088,2.7187,9.9637,5.7148,7.1774,12.4059,,15.8577,7.8966,4.6249,28.0953,7.4651,23.22,2.8751,6.849,2.7156,4.0748,9.4396,13.0747,29.3635,13.4867,13.4575,9.4694,5.947,2.8457,4.0976,7.3103,12.9513,22.5623,48.0166,,3.982,25.7977,8.3399,25.7437,13.6546,8.7845,6.2728,10.4749,6.924,12.3231,8.5681,18.6983,3.2092,16.7461,2.7303,7.54,14.1998,12.4692,15.5641,17.3626,9.8854,6.9,7.1599,8.3835,11.575,23.062,6.8596,20.1878,10.7548,11.8535,12.3972,9.2334,10.8038,7.088,5.8158,17.5022,5.2611,15.6288,6.0116,31.1865,6.1343,8.6418,15.8449,9.3073,21.1833,5.083,19.2319,5.1935,8.3587,6.4347,6.9363,15.7787,8.8129,194.0038,5.7598,17.5882,15.0702,5.7236,6.6309,27.2416,3.6751,14.8971,18.7657,5.1695,7.1763,19.3068,3.78,16.6278,9.4163,22.4231,13.6191,4.1069,15.2636,8.6011,8.0175,11.7476,32.6786,4.06,16.476,19.9057,11.4401,5.8926,12.4813,19.648,8.1626,8.5,4.0732,15.7325,8.4921,8.9681,48.46,5.6954,6.3739,13.405,8.152,9.8503,6.2253,8.5752,4.4382,26.2286,8.1318,,7.2166,11.4344,5.6672,11.1116,9.2642
20170728,8.1011,5.902,6.0012,7.0184,8.9605,8.35,7.6647,3.2768,3.2027,7.424,8.7429,15.2993,5.7314,3.71,17.0694,30.803,6.5144,2.7784,4.5779,17.8892,9.8215,16.7245,5.2556,20.5248,7.5445,15.5878,7.6507,13.6363,8.5728,9.1683,3.9646,24.1639,17.9964,13.1402,5.0226,10.733,7.4165,8.9369,6.4203,3.9172,4.5049,10.2972,3.508,28.0557,42.067,,10.9621,8.7786,90.5744,3.3463,11.6927,11.1205,28.3901,10.4096,17.4508,,19.922,22.7759,5.5737,2.9463,9.6369,4.2417,22.1014,5.7948,8.4157,5.4832,13.1582,18.1106,5.1533,42.9329,,8.0967,6.1347,7.4744,2.6188,3.826,30.3634,3.0802,8.6461,8.6061,27.7705,5.3546,14.2565,5.7293,5.1854,2.6481,13.0581,5.7794,6.9374,13.8699,,15.9783,7.8637,4.617,27.7287,7.3482,23.0666,2.8831,7.0158,2.7313,3.8452,9.5519,13.1128,29.1062,12.9588,13.6528,9.0704,5.9984,2.8457,4.0814,7.3184,12.8372,22.6003,49.1618,,4.0083,25.5761,8.3482,25.9501,13.7029,8.5631,6.3845,10.6072,8.523,12.1836,8.3301,17.9784,3.2775,17.3578,2.7667,8.36,14.8035,12.7619,15.5098,17.2389,9.9916,7.01,6.7134,8.3063,11.6957,23.8993,7.2427,21.89,10.9642,11.3836,12.2693,9.0127,10.7706,7.9176,5.8593,17.4839,4.9605,15.3361,6.094,31.1865,6.0647,8.4358,16.876,9.1506,20.9808,5.232,19.094,5.6688,8.4205,6.5949,6.9967,17.9097,9.1609,205.8723,5.738,19.5653,15.485,5.9713,6.683,31.2062,3.4611,15.3309,19.0326,5.1609,7.1419,20.0144,3.81,17.149,9.6235,22.5465,13.5732,4.1333,13.9462,8.9639,8.0175,11.8249,31.1193,4.04,16.0776,20.2363,11.5715,5.9018,12.2035,19.8225,8.567,8.53,4.442,14.9829,8.5208,9.6813,50.67,5.5829,6.5133,14.5857,8.1715,10.0647,6.2836,8.7587,4.5239,27.1098,7.8712,,7.2009,11.6775,5.6738,11.1208,9.1628
20170804,7.782,5.902,5.9186,6.7484,8.9003,8.1843,7.5267,3.2408,3.3674,7.8169,8.8908,15.2509,5.5158,3.84,16.9011,31.0198,7.2077,2.9775,4.4951,17.8892,10.3821,15.8276,5.4867,19.4339,7.8725,16.5378,7.759,13.3439,7.8925,9.7284,4.3332,24.3887,17.6094,12.6928,5.0872,11.0131,7.2924,9.0245,6.9657,4.1075,4.8038,10.1796,3.5177,26.5729,41.7102,,10.7265,8.5719,87.9231,3.3343,11.5847,12.4051,28.979,10.9325,17.0674,,22.3934,22.2904,5.4016,3.4202,9.8018,4.3702,22.0943,5.8949,8.8483,5.5198,13.8166,18.259,5.2055,44.1962,,8.9514,5.8945,7.4587,2.6509,3.9126,31.0017,3.0484,9.0109,8.5845,27.2526,5.3546,14.3555,5.2826,5.1943,2.6363,13.4174,5.9271,6.9291,15.2433,,16.5718,8.275,4.855,27.4515,7.621,23.1218,2.859,6.8675,2.8462,3.8007,9.57,13.1892,30.6501,12.882,13.6724,9.762,5.9029,2.8955,4.1304,7.5116,12.6089,23.6729,48.0166,,4.1048,25.8907,8.3441,26.0091,13.5871,8.2709,6.3188,10.6733,8.404,12.5223,7.9017,17.4764,3.4226,16.9755,2.8407,8.32,15.3774,12.2298,15.1839,16.8366,9.765,7.51,6.7906,8.7501,11.3978,24.256,7.0467,21.0759,10.8595,11.0,12.1059,9.2415,10.8487,7.5954,5.8158,17.6212,5.3112,14.8605,6.2407,30.8366,6.4823,8.2102,16.9695,9.4639,20.2318,5.1599,18.7134,6.2028,8.2121,6.576,7.042,18.4548,8.9895,199.9744,5.622,20.1808,14.8035,5.727,6.5938,31.014,4.2099,15.5083,17.376,5.6744,7.424,20.1038,3.81,16.9425,10.527,23.5532,13.3494,4.1859,13.5509,9.0878,8.0175,12.0377,33.2871,4.09,15.7967,19.5945,11.3462,5.9293,12.8286,19.3233,8.3601,8.17,4.707,14.1261,7.9847,9.4468,48.19,5.6485,6.2903,14.5645,8.464,9.9932,6.2739,8.6631,4.5526,27.0056,7.7875,,7.0747,11.7845,5.6938,10.6877,9.5537
