trade_date,600519.SH,601318.SH,600036.SH,000333.SZ,601899.SH,000858.SZ,600900.SH,601166.SH,002594.SZ,601328.SH,601398.SH,600276.SH,000651.SZ,600030.SH,600887.SH,600309.SH,002475.SZ,300059.SZ,000725.SZ,600919.SH,601288.SH,601088.SH,002714.SZ,000568.SZ,300124.SZ,600028.SH,002415.SZ,601668.SH,600809.SH,601857.SH,300498.SZ,601012.SH,600690.SH,000001.SZ,300274.SZ,601225.SH,300308.SZ,601601.SH,002142.SZ,600000.SH,600016.SH,601919.SH,600031.SH,000792.SZ,601988.SH,601985.SH,600406.SH,002352.SZ,600050.SH,000338.SZ,601169.SH,000063.SZ,601766.SH,600150.SH,000100.SZ,600837.SH,002230.SZ,601229.SH,002371.SZ,600089.SH,600660.SH,600048.SH,601688.SH,601888.SH,000625.SZ,600436.SH,601390.SH,600104.SH,601600.SH,002027.SZ,601211.SH,600438.SH,601006.SH,600019.SH,601818.SH,603288.SH,603993.SH,601989.SH,600585.SH,300015.SZ,002304.SZ,000002.SZ,601998.SH,603986.SH,601009.SH,600886.SH,600999.SH,601628.SH,600547.SH,000425.SZ,002050.SZ,000938.SZ,600893.SH,600926.SH,300014.SZ,603019.SH,600111.SH,600795.SH,000538.SZ,601939.SH,601669.SH,600674.SH,600015.SH,600760.SH,600009.SH,600426.SH,600958.SH,002311.SZ,600489.SH,002241.SZ,000166.SZ,000596.SZ,000157.SZ,601186.SH,603799.SH,600011.SH,300122.SZ,300408.SZ,002460.SZ,000776.SZ,002252.SZ,002049.SZ,002179.SZ,000977.SZ,002466.SZ,600584.SH,601377.SH,002129.SZ,002601.SZ,600010.SH,001979.SZ,600188.SH,601111.SH,000661.SZ,600115.SH,601901.SH,000768.SZ,603369.SH,000786.SZ,002236.SZ,601633.SH,600029.SH,601800.SH,002648.SZ,601788.SH,300433.SZ,600570.SH,600085.SH,002493.SZ,600346.SH,601117.SH,002271.SZ,600196.SH,601360.SH,002001.SZ,601872.SH,600845.SH,300347.SZ,600233.SH,000963.SZ,601021.SH,600176.SH,600600.SH,600219.SH,601699.SH,601336.SH,600023.SH,002180.SZ,601689.SH,600745.SH,601100.SH,000895.SZ,600362.SH,002736.SZ,600741.SH,300033.SZ,000983.SZ,002459.SZ,601881.SH,601898.SH,000999.SZ,000301.SZ,600372.SH,600515.SH,600183.SH,002812.SZ,601618.SH,600588.SH,601877.SH,000876.SZ,002555.SZ,002709.SZ,600332.SH,300450.SZ,002074.SZ,300142.SZ,002202.SZ,300316.SZ,300496.SZ,000408.SZ,600875.SH,601607.SH,002007.SZ,603806.SH,601238.SH,002821.SZ,601799.SH,000733.SZ,300413.SZ,600803.SH,300223.SZ,600132.SH,600061.SH,600018.SH,600460.SH,002410.SZ,000708.SZ,002603.SZ,000617.SZ,002841.SZ,600039.SH,603899.SH,600754.SH,000069.SZ,600732.SH,601808.SH,000877.SZ,601155.SH,600606.SH,000800.SZ
20170602,398.774,35.414,17.3588,29.2514,2.8318,43.5273,11.463,11.8609,48.62,4.126,3.6929,21.9278,24.0399,13.4087,16.4284,18.5557,8.3017,3.9993,3.4447,6.6344,2.4186,12.5452,5.0928,42.2616,14.3306,3.8516,23.9998,5.3285,20.4103,6.0748,17.5205,4.2122,12.4914,8.2307,9.3405,4.0759,22.636,23.7139,11.6993,10.1236,4.8429,,6.1579,9.4291,2.5284,6.662,,50.9289,,4.5918,5.0482,19.0385,8.5238,22.0782,,12.9771,19.7942,7.6422,23.2024,6.0489,19.6568,7.3144,14.962,27.0805,6.6179,52.5509,7.5585,22.3667,4.2023,6.6851,15.9651,4.5189,5.4831,4.2079,2.8164,18.374,3.7133,,15.71,3.732,73.7904,15.3094,4.3959,31.7767,5.767,6.6641,12.1223,25.2319,13.9194,3.0187,7.2279,18.8031,23.3601,9.4529,7.4753,14.7281,10.4412,3.0646,52.826,4.4565,7.0902,7.7198,6.8041,14.2197,36.6977,7.3074,12.0139,15.5166,8.9294,16.4846,5.0679,43.615,3.3167,10.2888,17.1758,6.9471,11.8293,18.7942,17.9159,13.9204,,,11.2774,14.735,29.8823,14.1392,,,9.9199,2.1097,15.6802,4.3453,9.8862,52.9887,6.6186,8.9893,16.9719,11.1605,12.1192,17.7647,10.8973,8.3948,13.3991,4.3102,14.015,18.3706,11.9167,30.105,3.8878,4.5873,5.495,12.0638,29.5772,8.1447,5.9297,,5.2437,14.2273,17.7171,23.5123,33.5029,6.1787,30.5332,2.4948,4.9685,42.8793,4.5862,24.2291,20.0668,,6.7767,15.1722,13.5677,11.058,15.0496,58.2562,4.2247,8.6384,10.5742,4.5513,26.9366,,14.4825,6.5674,6.1156,17.1416,4.3035,6.3249,16.3334,7.2111,19.1447,6.2274,25.1494,11.6273,23.6441,12.0929,9.3692,8.547,29.5202,11.3758,8.5997,21.8105,17.0823,6.9881,16.181,46.1693,37.8195,14.6504,,11.3107,17.4229,19.0259,9.2959,5.0034,,12.1637,4.88,10.6195,9.0621,39.5421,2.3143,15.0509,24.4764,7.0689,,10.6822,8.3763,14.7773,5.622,8.5449
20170609,415.2042,37.9188,17.9463,32.3944,2.8665,47.3482,11.3865,11.9981,49.4068,4.0597,3.5954,22.3919,25.8626,13.5642,17.4808,20.2649,8.5249,4.0982,3.5864,6.6055,2.3712,12.5452,5.4989,44.3898,14.9434,3.7593,26.8943,5.49,22.8492,6.0435,17.3066,4.4421,13.1116,8.2128,10.5469,4.2095,24.6088,25.2817,11.7187,10.1551,4.9156,,6.4867,9.509,2.4876,6.7733,9.1935,50.6995,,4.652,5.0709,20.2242,8.4071,22.643,,12.9166,20.5889,7.7472,25.7694,6.4706,21.1042,7.5084,14.8426,28.1372,6.8754,54.9603,7.6176,22.8467,4.2121,7.3307,16.0569,4.6724,5.4506,4.2939,2.7884,19.216,3.8604,,16.1881,3.8253,76.0923,15.251,4.439,31.5987,5.7775,6.7569,12.1223,25.5461,14.5329,3.1428,7.7965,19.0277,26.1691,9.3216,7.8444,14.3352,10.7422,3.0646,54.8794,4.3582,7.2329,7.7519,6.8733,14.9137,37.3896,7.9233,11.9966,16.0617,9.1952,18.5476,5.1398,47.0693,3.3696,10.3649,18.6438,6.9211,12.6351,19.843,17.9705,14.1823,,,11.8213,14.6934,32.4879,15.4971,6.1393,,10.174,2.1393,16.5005,4.4056,9.8862,57.0318,6.677,8.8415,17.3787,11.7013,12.9392,20.4834,11.4166,8.7337,13.9059,4.4957,13.9596,19.2418,13.4533,30.774,3.9089,4.6601,5.8137,12.9575,30.6624,8.6359,6.1498,,5.5759,15.5007,18.0234,25.8065,32.1332,6.6807,32.5804,2.5183,5.1113,44.5253,4.5226,24.2291,20.5866,,7.1078,16.1275,14.0832,11.3055,17.0152,56.8135,4.476,8.8091,10.5565,4.6959,27.7719,,14.7145,6.7705,6.4629,18.4672,4.3294,6.7786,16.6987,7.2566,21.7447,6.5822,25.8754,12.4368,24.3937,12.1527,9.6703,8.8367,29.3931,11.586,8.7846,22.892,17.5796,7.1949,16.7986,52.1174,40.4423,15.4384,,12.0415,19.6431,20.0377,9.1257,4.9554,,12.1157,4.9597,10.8011,9.1614,42.0444,2.3899,15.5795,25.3467,7.5385,4.8735,10.748,9.161,15.7173,5.7696,8.7418
20170616,412.4317,36.7846,16.8585,31.3976,2.91,47.2121,11.0192,11.834,50.2033,4.0132,3.5118,22.4883,25.8267,13.3514,16.9674,20.7147,8.3285,4.1048,3.5244,6.4295,2.3373,12.5452,5.5161,43.909,15.3328,3.6486,25.447,5.2376,22.8358,5.981,17.2918,4.4392,12.2294,8.0961,10.4107,4.2095,25.8445,24.9272,11.4334,9.6995,4.8611,,6.4512,9.7687,2.4604,6.6363,8.8637,48.2243,,4.6119,5.0539,20.6676,8.2988,22.5637,,12.8217,20.8516,7.4845,25.1187,6.3213,20.2794,7.2835,14.7062,27.0925,6.7288,53.6945,7.3476,22.7037,4.2516,7.0813,16.0318,4.8894,5.2747,4.3605,2.7465,18.4106,4.6324,,15.4085,4.0348,74.7764,15.3021,4.3959,29.0818,5.6568,6.5713,12.0434,24.3102,14.4527,3.1606,8.3323,19.4162,26.6275,8.9966,8.5263,13.9621,10.8976,3.0646,54.3587,4.2951,6.9386,7.6394,6.7349,17.0457,34.7278,7.8468,11.8496,16.0429,9.1952,17.6689,5.0595,45.89,3.3167,9.883,22.9647,6.6869,12.2741,19.569,19.5938,14.0978,,,12.0832,14.4601,35.4361,15.871,6.1812,,10.2408,2.1491,15.8677,4.6671,9.4255,58.4188,6.5894,9.4132,17.7261,11.8878,13.1464,18.8429,11.7121,8.6078,13.2961,5.1871,13.9135,18.7975,14.0303,30.4395,3.9467,4.745,5.8309,12.7613,29.6978,8.6359,6.3183,,5.9186,15.5136,18.3389,25.0245,31.5716,6.4018,31.478,2.534,5.3326,41.5204,4.4869,24.2291,21.3103,19.2921,7.2813,15.7312,14.1737,11.0982,16.7927,55.3708,4.7506,8.4774,10.5389,4.7385,27.1163,,14.8692,6.8315,6.4108,22.7448,4.2345,7.3732,16.6987,7.2749,21.5273,7.0437,25.3914,13.2493,26.5393,11.7642,9.5699,9.1626,29.2464,11.3926,8.7291,22.3942,17.2046,7.2682,17.3693,50.3934,40.0012,15.4384,,11.8505,19.4698,19.2421,9.2291,4.8993,,12.0334,4.9819,10.9707,9.3229,42.8995,2.3899,15.8392,24.6059,7.6519,4.7263,10.7205,10.9371,14.6757,5.5236,8.9118
20170623,421.4358,39.1634,18.657,35.7544,2.9187,49.9166,11.3865,12.2162,49.7608,4.0928,3.5814,21.9497,28.7115,13.8671,17.9429,22.1131,8.992,3.8773,3.5687,6.4999,2.378,12.5452,5.6708,45.4438,16.2647,3.6978,27.3078,5.4711,23.5355,6.0848,17.4541,4.6493,12.9282,8.3025,10.4691,4.3498,28.3931,26.1956,11.7901,9.9273,4.9095,,6.8777,10.76,2.4944,6.7562,8.5907,47.498,,4.945,5.1107,22.7016,8.3404,22.425,,12.7957,22.0863,7.9048,23.6452,6.3408,21.2093,7.7489,15.2945,27.1986,6.9438,58.8677,7.3139,23.5916,4.3897,6.5776,16.5907,4.7596,5.3854,4.4151,2.7954,18.8957,4.4394,,16.0101,3.996,75.7495,17.5894,4.4678,27.5331,5.7302,6.7569,12.3088,25.0803,14.5681,3.1517,8.7752,20.1077,26.5105,8.9966,8.7519,13.231,10.9073,3.0646,55.7569,4.4354,7.1259,7.8322,6.9299,16.6113,36.7265,7.8051,11.9188,16.4471,9.1861,18.4807,5.087,46.735,3.3393,10.0352,23.3586,6.7216,11.8035,19.0682,19.8621,14.385,,,12.1719,14.2269,39.3909,15.379,6.2649,,9.8264,2.1393,16.5239,4.7758,9.5023,59.4142,6.6867,9.6596,17.7941,11.7199,13.3086,20.7372,11.6852,8.5787,13.1329,5.2107,13.8305,18.4471,13.8805,32.6602,3.9341,4.7814,5.6845,12.8085,28.9187,8.6359,6.3631,,5.7278,15.5395,18.2368,25.9774,32.2613,6.3089,31.6818,2.6125,5.4754,43.9598,4.5365,24.2291,22.3301,19.0039,7.4091,16.1983,14.6079,11.3832,18.202,55.4347,4.8321,7.8189,10.5742,4.832,28.0055,,15.7973,6.8856,6.4397,24.9773,4.269,7.1706,17.3066,7.3569,20.8669,7.2405,25.4631,14.9673,27.2114,11.7542,9.5887,9.2138,27.6324,11.1572,8.6459,23.4671,17.2917,7.1748,17.2884,48.584,40.6022,15.273,,11.1031,20.8151,20.5912,9.3438,5.0354,,12.342,5.0037,10.9185,9.6521,41.4245,2.3892,16.2009,24.2589,7.881,4.9857,10.2766,10.2432,15.1245,5.7671,8.8312
20170630,420.6512,39.0767,19.3699,34.5969,2.9795,50.5156,11.7691,12.6359,49.1216,4.0862,3.6581,22.1511,29.544,13.9326,18.4734,23.4215,8.7004,3.963,3.6838,6.5422,2.3847,12.5452,5.8492,45.9342,16.303,3.6486,27.8246,5.5109,23.1157,6.0455,17.2918,4.8536,13.1466,8.4282,10.8407,4.724,28.8776,26.6841,12.5164,9.9352,4.9761,,7.2242,10.45,2.5148,6.6877,9.2568,50.8047,,5.2983,5.2072,22.8847,8.4321,22.6628,,12.8217,26.204,7.8925,23.8145,6.7043,21.0556,7.7333,15.2604,29.0801,7.0464,59.5803,7.3139,24.1835,4.4587,6.7292,17.1079,4.8288,5.6334,4.586,2.8303,18.6623,4.6508,,17.1252,4.0946,76.109,18.2471,4.5254,27.7005,5.8824,6.6641,12.3519,24.4461,14.5129,3.3293,8.9228,21.7866,26.6275,8.9365,9.3057,13.997,11.0044,3.0646,54.9028,4.5109,7.0634,7.8885,7.0669,16.5364,35.8521,8.1596,12.0312,17.4663,9.1952,18.4139,5.1236,47.8617,3.3922,10.1704,25.2039,6.6147,12.3192,19.8336,21.0307,14.5708,,,12.5667,14.4268,38.7984,15.7922,6.223,,10.9494,2.159,16.688,4.9246,9.3583,60.9097,6.6186,9.7877,17.9106,12.3073,14.2727,20.6738,11.9002,8.4238,13.8108,5.5648,13.766,18.2031,14.8815,32.4836,4.1066,4.9756,6.0204,13.4769,28.7425,8.6359,6.676,,5.954,15.6429,18.3228,25.7392,33.1383,6.8047,32.5156,2.6595,5.6477,43.3858,4.52,23.6515,22.034,18.5964,7.4365,16.8069,15.2501,11.4437,17.9794,56.8043,5.1304,7.7067,10.477,5.0022,28.5174,,16.7931,6.9534,7.1142,23.1987,4.3208,7.5406,17.7483,7.4937,21.3769,7.23,26.0278,15.522,27.1855,12.3121,9.7016,9.1189,27.6813,11.6701,8.8586,24.7889,17.6495,7.1148,16.2122,50.5875,41.5224,15.4676,,11.4103,20.097,20.8474,9.4964,5.0754,,12.8905,5.2291,11.3949,9.6894,42.5953,2.448,16.1359,25.4123,8.233,4.8946,10.4277,10.4662,15.7003,5.6728,9.0997
20170707,403.5956,40.1795,18.8433,33.4635,3.049,47.0124,11.7385,12.8083,49.8296,4.0925,3.6302,21.3761,28.8666,13.8753,17.4637,23.4379,8.7274,3.9927,3.6661,6.4647,2.3983,12.5452,6.1435,43.8182,15.6455,3.7162,25.9553,5.3515,22.8225,6.132,17.6238,5.1971,12.3866,8.5,10.8505,5.6661,28.5055,27.3459,12.8861,9.8959,4.9579,,7.0998,11.03,2.508,6.7476,9.5138,49.3998,,5.519,5.2072,22.3546,8.3988,23.4061,,12.7957,28.3385,7.7967,25.2879,6.5874,19.8913,7.935,15.2177,27.2469,6.9194,56.408,7.2886,24.9624,4.8336,6.3731,16.941,5.1923,5.949,4.7979,2.8298,17.4221,5.4872,,17.5848,3.9784,74.2065,18.0205,4.4678,32.5456,5.8404,6.8159,12.3877,24.8629,14.9844,3.4181,9.2345,21.0429,26.7446,8.8703,11.5103,13.5742,12.9664,3.0646,52.902,4.4816,7.0456,8.0652,7.0822,16.8909,36.7938,7.8121,12.1437,16.5485,9.462,17.7262,5.2516,45.0905,3.4073,10.0521,26.987,6.5967,13.0799,19.5501,23.1443,14.6445,,,13.6586,14.685,41.9394,16.8647,6.3152,,12.2261,2.3463,16.0396,5.331,9.247,58.499,6.6478,9.492,18.2991,11.8318,14.1286,21.0182,12.312,8.3076,13.7239,5.5412,13.8213,18.7224,14.2726,31.443,4.1697,5.3154,5.9601,13.4515,27.713,8.6359,6.676,,5.8656,17.0004,18.2479,25.3404,33.0694,6.8109,31.126,2.7545,5.9727,47.1673,4.5034,22.5159,21.3037,21.0116,8.1624,16.3257,15.9103,11.8064,18.2168,56.3204,5.3586,7.6824,10.8727,5.1128,26.7121,,16.3827,6.9398,7.3102,26.1802,4.3208,7.4877,17.6864,7.5484,20.4238,7.8955,25.4362,17.7947,29.2966,12.9396,9.5887,10.1411,30.5668,11.586,8.9973,24.0937,14.9803,7.1126,16.6165,50.539,40.8745,16.1777,,11.2857,20.3694,21.3393,9.5148,5.1235,,12.6505,5.3778,11.2644,10.3043,45.0516,2.4715,16.4605,25.0466,7.9383,4.8104,10.541,11.3253,14.9636,5.593,9.1802
20170714,413.0436,42.0111,20.3987,33.8975,3.0837,47.684,11.9202,13.4153,49.7313,4.2937,3.7665,21.328,30.8732,14.2273,17.883,23.904,8.9289,3.8279,3.5781,6.6055,2.4812,12.5452,6.3595,44.6446,15.6838,3.827,25.9553,5.7785,22.3239,6.2028,16.0451,5.0552,12.3953,9.7835,10.6159,5.439,29.2567,27.8107,13.7078,10.6734,5.2789,,7.1354,10.61,2.6176,6.7648,9.0103,49.1226,,5.503,5.4982,23.1065,8.5154,22.9502,,13.1497,25.7115,8.0562,23.7348,6.4706,19.5678,8.4392,16.3346,28.424,6.9145,55.754,7.4404,24.791,4.9224,6.2461,17.6751,5.1577,6.0699,4.9072,2.9946,17.3214,5.7905,,17.5697,3.9432,73.1895,17.9694,4.8059,28.9002,6.2497,6.8244,12.7822,26.3217,15.3607,3.4891,8.9228,20.7108,29.4366,9.0327,10.9873,13.0071,13.3646,3.0646,53.1653,4.6356,7.3787,8.0352,7.8103,15.6776,36.1884,7.68,12.7578,17.4185,9.5264,17.583,5.2974,45.7669,3.4753,10.8383,26.5516,6.4975,12.4933,20.8824,23.5088,15.024,,,13.4733,14.2935,44.9019,15.6939,6.5162,,12.42,2.3561,16.5695,5.2866,9.0238,58.3102,6.5505,9.1273,17.8232,12.4752,13.1824,22.5771,11.7658,8.2786,14.7582,5.3996,14.0611,17.3646,13.6223,31.6009,4.2581,5.0909,6.3379,13.8765,27.8057,8.6359,6.5591,,5.6572,16.8194,18.0889,24.9416,32.4781,6.6125,30.913,2.7147,6.016,48.6782,4.52,21.6916,21.3037,22.0155,8.5778,15.4269,15.6165,11.9273,17.0802,54.1472,5.2123,7.3458,10.9264,5.1043,26.7377,,15.8883,6.8518,7.5754,25.0374,4.4329,7.1486,17.4479,7.5392,19.5209,8.9053,24.9791,19.039,28.1161,12.4316,9.5825,9.7103,27.5346,11.4599,9.099,23.5644,14.4387,6.777,16.2868,47.4123,40.2454,15.5843,,11.3605,19.5605,22.2604,9.6186,5.3316,,11.7317,5.4905,11.2905,10.2298,42.1878,2.7599,16.2287,24.2589,7.9138,4.6211,10.3899,11.3914,16.1407,5.6075,8.9923
20170721,428.2383,41.3663,20.0423,33.6805,3.075,49.6534,12.0647,13.3628,49.6526,4.3977,3.8831,21.8534,30.5951,14.3419,17.7461,26.0139,9.4033,3.5707,3.5424,6.7464,2.5594,12.5452,6.3133,46.6607,15.7924,3.9147,26.3516,6.0916,23.9843,6.3128,14.5402,5.6569,12.7011,9.9192,10.9091,5.9066,28.5757,27.4089,13.7078,10.5635,5.2728,,7.4464,10.52,2.6888,6.8504,9.1834,47.2113,,5.6464,5.5612,22.8076,8.5071,22.4746,,13.0807,30.0985,8.1625,22.57,6.6264,20.0126,8.509,16.6671,27.9705,7.3054,54.817,7.5923,24.4016,5.4353,6.1544,17.6918,5.2442,6.0833,5.1123,3.0519,18.2367,6.7648,,18.4663,3.996,75.6794,18.1082,5.0434,27.316,6.1063,6.9509,12.8958,25.9955,15.9627,3.5246,9.3766,19.5898,29.6609,9.1832,11.2181,12.6042,13.724,3.0646,53.626,4.731,7.4869,8.292,7.7644,14.8738,36.1788,8.2986,13.7611,17.9825,10.0505,18.1465,5.3431,45.8702,3.6189,11.4062,27.9739,6.6057,12.229,22.1297,29.0215,15.3517,,17.9882,13.6586,13.7771,48.8567,15.2806,6.6753,,12.5871,2.4744,16.1373,5.9118,8.9559,56.9138,6.7646,9.0485,17.4055,13.277,13.5519,21.7795,11.7658,8.2883,15.045,5.5142,14.3364,20.3995,12.6212,30.6346,4.54,5.2668,7.0285,13.6767,26.5351,8.6359,6.5178,,5.5052,16.1148,17.032,24.2218,30.9114,6.6559,30.422,2.8262,7.121,50.1975,4.5945,21.2799,20.5668,22.2342,8.8152,15.2005,16.9673,12.3073,17.2039,45.0253,6.1132,6.6239,10.7475,5.5126,26.0151,,15.2776,6.8247,8.6131,25.8708,4.5216,7.523,17.0062,7.4663,19.0862,8.7683,24.5596,19.096,29.0381,11.9136,9.2752,9.5278,25.2164,11.6701,9.4689,23.3035,13.7086,6.5436,16.5046,43.6202,42.6116,14.9909,,11.3605,18.3225,22.0547,9.8934,5.4671,,11.9031,5.5626,10.8141,10.354,37.763,2.7187,15.8577,25.4404,7.7419,4.4668,10.4749,11.3418,15.0059,5.7598,8.6165
20170728,437.9397,41.3106,20.8848,33.2786,3.1706,50.5792,12.2975,13.3928,48.6495,4.4602,4.0434,22.2825,29.7384,14.1454,17.5322,25.8586,9.3854,3.7355,3.4889,6.4577,2.6447,12.5452,6.2847,50.0663,15.9328,3.8642,25.7313,5.8525,26.8443,6.3679,14.9975,5.9578,12.2556,9.7826,11.8378,5.4465,30.1975,26.9362,13.6734,10.5792,5.2666,3.4973,7.3575,11.23,2.7599,6.8409,9.1571,46.9437,,5.5483,5.4772,22.4124,8.4071,23.1286,2.8665,13.0127,31.1624,8.1011,22.8487,6.6134,18.9291,8.2375,16.7608,28.2214,7.0024,54.1435,7.4742,23.6461,5.3663,6.3661,17.3498,5.5904,5.902,4.8662,3.0304,17.6189,6.4431,,17.9916,3.9608,78.9934,17.2679,4.9486,25.3046,6.0012,7.0184,12.7075,25.2978,15.4861,3.4802,9.2563,19.2792,28.5003,8.9605,11.7872,12.4998,16.4338,3.0646,52.3333,4.995,7.3155,8.35,7.6647,14.5442,35.0738,8.236,13.6832,17.3803,9.8114,18.2324,5.3706,50.0692,3.5358,11.081,25.8176,6.5967,12.6029,21.336,29.8416,15.1102,,17.6543,13.8359,15.3051,46.865,15.3593,6.7758,,12.8478,2.5139,15.705,5.4205,8.4223,58.4423,6.531,8.7429,17.9495,13.9949,13.3446,22.1149,11.7748,7.8499,14.2976,6.064,14.1683,18.8789,13.5457,30.458,4.5021,5.5035,6.8362,13.4043,26.7299,8.6359,6.6588,,5.7314,16.7677,17.0694,24.0716,30.803,6.6064,30.9934,2.7784,6.5144,49.4716,4.5779,22.3287,20.6195,22.9597,8.87,14.9882,17.8892,12.2987,16.7245,45.6096,5.7856,6.7263,10.6132,5.2556,25.6447,,15.5878,7.6507,8.5728,25.4326,4.4605,7.9282,17.4921,7.5028,20.8585,8.5102,24.2064,19.5787,30.0721,12.3121,9.3442,10.3382,26.6738,11.7037,9.4966,21.7725,13.7086,6.6659,16.2619,45.5197,42.067,15.3606,,11.6927,20.3116,22.0637,9.6369,5.5737,,11.7249,5.6708,10.7423,10.8944,38.7157,2.6481,15.9783,26.9408,7.4719,4.4177,10.6072,11.127,15.26,5.738,8.8134
20170804,428.6365,41.3504,20.6741,31.7111,3.3448,49.0908,12.0245,13.1755,47.8948,4.4879,4.1308,21.9497,28.4006,14.3746,17.7204,28.0339,8.9423,4.3092,3.4443,6.2746,2.6731,12.5452,6.1593,48.4498,15.7094,3.8578,24.6631,5.6817,27.5288,6.4308,14.8205,6.0656,11.6948,10.1743,11.7302,5.6157,28.4001,27.4544,13.1409,10.1079,5.2851,3.6397,7.8729,11.86,2.8666,6.6499,8.7271,46.6952,,5.7363,5.4281,21.0532,8.4404,24.1294,2.9623,13.258,29.9672,7.782,22.6994,6.847,18.4601,7.8264,17.3661,27.3434,6.9584,53.2162,7.3522,22.8361,6.5895,6.0273,17.4332,6.0577,5.902,5.536,3.0017,17.358,6.4431,,17.5471,3.9573,76.6263,16.6906,4.8225,28.2131,5.9186,6.7484,13.2146,24.6364,16.6349,3.5512,9.1306,19.2685,29.2903,8.9003,11.7769,12.2162,16.9097,3.0646,50.167,5.0317,7.1351,8.1843,7.5267,15.7375,34.8527,8.3125,13.9074,16.778,10.5746,17.7453,5.4621,48.1341,3.6869,10.5591,27.0824,6.5696,13.1702,19.295,28.9486,15.4293,,17.5051,13.6506,14.4957,46.758,14.828,6.8598,,12.1259,2.8984,15.1527,5.5911,8.4223,57.5554,6.5602,8.8908,18.5614,13.3796,13.4077,20.2659,11.5241,7.8107,13.4632,5.8481,14.5419,19.0729,13.5744,29.9191,4.5484,6.0981,6.4341,12.5833,26.3403,8.6359,6.879,,5.5158,16.8905,16.9011,23.5899,31.0198,6.501,30.4505,2.9775,7.2077,51.1598,4.4951,21.7308,18.3496,23.5859,8.4409,14.7547,17.8892,12.1692,15.8276,47.9381,6.1892,6.9507,11.6692,5.4867,25.3286,,16.5378,7.759,7.8925,23.7715,4.3906,7.4657,17.3949,7.6486,19.0695,7.9956,23.7265,19.4588,28.8744,12.2722,9.5198,10.5499,26.8108,11.1909,9.6908,22.0422,13.6699,7.0637,16.15,43.8698,41.7102,15.7594,,11.5847,20.2208,21.1336,9.8018,5.4016,,11.6563,6.1036,10.5857,10.7453,38.2968,2.6363,16.5718,27.4753,7.1691,4.3336,10.6733,10.7884,13.8288,5.622,9.037
